time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1910,10765,191.4769,3.000088,-3.54043e-05,4.361066e-06,-0.884457427043617,191.472275355237,3.00865545017225,-0.000408158808745099,7.79013783649535e-05,0.00856728643456587,-0.000372754508745099,183.826900004795,3.00035884289494,-3.54043e-05,4.35714285714098e-06,186.679256422556,3.00864531419763,0.000132653483102598,-0.00146877646314801,0.00838745697979529,0.000168057783102598
1911,10774,191.6405,3.000082,-3.46634e-05,4.660377e-06,-0.872107756571208,191.633703987853,3.00859803207436,-0.000407232173783733,0.000107336549206975,0.00851579649635263,-0.000372568773783733,183.990500004596,3.00034717500995,-3.46634e-05,4.68176795580038e-06,186.840685379776,3.0086361243541,0.000118042835410355,-0.00145319321640064,0.00838774645488646,0.000152706235410355
1912,10783,191.8042,3.000076,-3.387351e-05,4.959687e-06,-0.860241453516588,191.795153145174,3.00854020629112,-0.000406013421932415,0.000136322764233506,0.00846389983753733,-0.000372139911932415,184.154200004389,3.00033513235145,-3.387351e-05,4.95494504746367e-06,187.002134860578,3.00862557651947,0.000103591848716761,-0.00143684806251073,0.00838691371307289,0.000137465358716761
1913,10791,191.9497,3.000071,-3.313026e-05,5.225741e-06,-0.849059395108791,191.956622781739,3.00848202352815,-0.000404507101484844,0.000164847792304171,0.00841125287708869,-0.000371376841484844,184.299700004198,3.00032444648895,-3.313026e-05,5.22142856354485e-06,187.163604819291,3.00861370141967,8.93080391460322e-05,-0.00141976153072008,0.00838413683728969,0.000122438299146032
1914,10800,192.1133,3.000066,-3.224785e-05,5.525052e-06,-0.837638896770803,192.118112852124,3.00842353343484,-0.000402717898386564,0.000192896555833547,0.00835768863462289,-0.000370470048386564,184.463300003978,3.00031269605246,-3.224785e-05,5.52032966199433e-06,187.325095210318,3.00860053119031,7.51987194419096e-05,-0.00140195381727821,0.00838012187607268,0.00010744656944191
1915,10809,192.277,3.000061,-3.131646e-05,5.824362e-06,-0.826559162219899,192.279623310938,3.00836478452665,-0.000400650659429533,0.000220451684584405,0.00830386667539024,-0.000369334199429533,184.627000003751,3.00030057091896,-3.131646e-05,5.81923076923728e-06,187.486605988131,3.00858609923966,6.12710008008722e-05,-0.00138344506494756,0.00837508105304845,9.25874608008722e-05
1916,10818,192.4406,3.000056,-3.033608e-05,6.123673e-06,-0.815822018366066,192.44115411282,3.00830582428651,-0.000398310386286915,0.00024750258616196,0.00824984109232067,-0.000367974306286915,184.79060000352,3.00028807101196,-3.033608e-05,6.11813186813897e-06,187.648137107274,3.0085704399703,4.7531790469013e-05,-0.00136425613766006,0.00836905542868945,7.7867870469013e-05
1917,10827,192.6043,3.000051,-2.930672e-05,6.422984e-06,-0.805429025501162,192.602705212442,3.00824669961478,-0.000395702140243356,0.000274045572865798,0.00819565287326407,-0.000366395420243356,184.954300003285,3.00027519640797,-2.930672e-05,6.41703296703046e-06,187.809688522367,3.00855358836651,3.39877815010496e-05,-0.00134440891864217,0.00836207402679383,6.32945015010497e-05
1918,10836,192.7679,3.000046,-2.822838e-05,6.722294e-06,-0.79538193793497,192.764276564506,3.00818745712466,-0.000392831018287314,0.000300077151465891,0.00814135483770501,-0.000364602638287314,185.117900003048,3.00026194710697,-2.822838e-05,6.7164835063424e-06,187.971260188109,3.00853557959628,2.06454442785981e-05,-0.00132392605746689,0.00835417822158125,4.88738242785981e-05
1919,10845,192.9316,3.000042,-2.710106e-05,7.021605e-06,-0.785509297919097,192.925868123756,3.00812814334015,-0.000389702147576269,0.000325594789176308,0.0080859879972563,-0.000362601087576269,185.281600002809,3.00024932310897,-2.710106e-05,7.01483516483235e-06,188.132852059284,3.00851644866309,7.51101888556399e-06,-0.00130283094357014,0.00834439750413178,3.4612078885564e-05
1920,10854,193.0952,3.000037,-2.592475e-05,7.320915e-06,-0.77616212639996,193.087479844976,3.00806880480632,-0.000386320677852394,0.000350596636207204,0.00803160466053661,-0.000360395927852394,185.445200002571,3.00023532433748,-2.592475e-05,7.31428570324211e-06,188.294464090765,3.00849623014944,-5.40949146562117e-06,-0.0012811475389161,0.00833477226835325,2.05152585343788e-05
1921,10862,193.2407,3.000034,-2.483802e-05,7.586969e-06,-0.767478639687696,193.249111683004,3.00800948812643,-0.00038269176220643,0.000375084192740108,0.00797569705351741,-0.00035785374220643,185.59070000236,3.00022401085298,-2.483802e-05,7.58021978021682e-06,188.456096237519,3.00847495807805,-1.81103259054018e-05,-0.00125890033347232,0.00832211799151241,6.72769409459824e-06
1922,10871,193.4043,3.00003,-2.356919e-05,7.88628e-06,-0.758672848625005,193.410763592729,3.00795023989495,-0.000378820544366965,0.00039905637612248,0.00792039223439884,-0.000355251354366965,185.754300002125,3.00021030430348,-2.356919e-05,7.87912087911767e-06,188.617748454606,3.00845266590845,-3.05859689452539e-05,-0.00123611378691499,0.00830985076329864,-7.01677894525395e-06
1923,10880,193.568,3.000026,-2.225138e-05,8.18559e-06,-0.750220807158823,193.572435529106,3.0078911063931,-0.000374712205930424,0.000422506374690571,0.0078652050877951,-0.000352460825930424,185.918000001894,3.00019622305699,-2.225138e-05,8.17802197801871e-06,188.779420697178,3.00842938668525,-4.28311475783057e-05,-0.0012128118701021,0.00829683418545426,-2.05797675783057e-05
1924,10889,193.7316,3.000022,-2.088459e-05,8.484901e-06,-0.741992694270815,193.734127447152,3.00783213328809,-0.00037037199565097,0.000445430514258248,0.00781018607108691,-0.00034948740565097,186.081600001668,3.00018176711349,-2.088459e-05,8.52375689307993e-06,188.941112920481,3.00840515326231,-5.48408266290179e-05,-0.0011890183128064,0.00828310590192974,-3.39562366290179e-05
1925,10898,193.8953,3.000019,-1.946881e-05,8.784211e-06,-0.734200879282722,193.895839301953,3.00777336556781,-0.000365805178156856,0.000467827036431815,0.00775437606590507,-0.000346336368156856,186.24530000145,3.00016793639649,-1.946881e-05,8.7763736263838e-06,189.102825079845,3.00837999852555,-6.66102069006871e-05,-0.00116475644556771,0.00826769474032566,-4.71413969006871e-05
1926,10907,194.0589,3.000016,-1.800405e-05,9.083522e-06,-0.726494629417322,194.057571048669,3.00771484732797,-0.000361017045311562,0.000489692973344353,0.00769882340021823,-0.000343012995311562,186.40890000124,3.00015373098249,-1.800405e-05,9.12541436463892e-06,189.264557130678,3.00835395565039,-7.8134719147406e-05,-0.00114004895544886,0.00825163806030306,-6.0130669147406e-05
1927,10916,194.2226,3.000013,-1.649031e-05,9.382833e-06,-0.71942006403726,194.219322642533,3.00765662159589,-0.000356012922499,0.000511023756560025,0.00764356755021073,-0.000339522612499,186.57260000104,3.00013915087149,-1.649031e-05,9.37417582417198e-06,189.426309028468,3.00832705831654,-8.94100176990614e-05,-0.00111491782301105,0.00823496599043751,-7.29197076990614e-05
1928,10925,194.3862,3.000011,-1.492758e-05,9.682143e-06,-0.712229868793429,194.38109403886,3.00759873016201,-0.000350798185022307,0.000531815491725595,0.00758765394151674,-0.000335870605022307,186.736200000852,3.000125195987,-1.492758e-05,9.7270718232023e-06,189.588080728768,3.00829934085688,-0.000100431973482757,-0.00108938448803434,0.00821671654669209,-8.55043934827572e-05
1929,10934,194.5499,3.000008,-1.331588e-05,9.981454e-06,-0.705866598806557,194.542885193046,3.00754121356187,-0.00034537824170715,0.000552063330797914,0.00753312015287227,-0.00033206236170715,186.899900000678,3.000109866482,-1.331588e-05,9.97197802197406e-06,189.749872187201,3.00827083829377,-0.000111196669889922,-0.00106346992390698,0.00819892169868521,-9.78807898899223e-05
1930,10943,194.7135,3.000006,-1.165519e-05,1.028076e-05,-0.699364198699125,194.70469606058,3.00748411103332,-0.000339758553678734,0.000571764734505447,0.00747800842122646,-0.000328103363678734,187.06350000052,3.0000951622035,-1.165519e-05,1.03281767955778e-05,189.911683359456,3.00824158629036,-0.000121700398530805,-0.00103719500401371,0.00817962020450678,-0.000110045208530805
1931,10951,194.859,3.000005,-1.01379e-05,1.054682e-05,-0.694087323380513,194.866526597042,3.00742746073976,-0.000333944588827398,0.000590917107193487,0.007422537043262,-0.000323806688827398,187.209000000393,3.000082554935,-1.01379e-05,1.05368131868089e-05,190.073514201288,3.0082116209706,-0.000131939660610389,-0.00101058060093759,0.00815810619370427,-0.000121801760610389
1932,10960,195.0227,3.000003,-8.384684e-06,1.084613e-05,-0.688438770160433,195.028376758117,3.0073712998349,-0.000327941856712175,0.000609518697195176,0.00736834743246312,-0.000319557172712175,187.372700000269,3.0000671428326,-8.384684e-06,1.08362637362762e-05,190.235364668524,3.00818097871405,-0.000141911165838486,-0.000983647782504699,0.00813783841980411,-0.000133526481838486
1933,10969,195.1863,3.000002,-6.582489e-06,1.114544e-05,-0.682954267525918,195.190246499593,3.00731566474588,-0.000321755875756396,0.000627564117937956,0.00731369072351528,-0.000315173386756396,187.536300000166,3.00005235604085,-6.582489e-06,1.11352747252876e-05,190.397234717067,3.00814969588158,-0.000151611836402193,-0.000956417694826452,0.00811617191185729,-0.000145029347402193
1934,10978,195.35,3.000001,-4.731311e-06,1.144475e-05,-0.677805130053607,195.352135777372,3.00726059113676,-0.0003153922490719,0.000645048397838245,0.00725960124170472,-0.0003106609380719,187.700000000086,3.00003719452915,-4.731311e-06,1.14343406593361e-05,190.559124302897,3.00811780860895,-0.000161038805650035,-0.000928911781549259,0.00809414148597686,-0.000156307494650035
